statement,dataset,split,correct,eval_order,p_dot,score_xfmt,score_capint
"The capital of Mauritania is Caracas",capital,capitals,0,135,0.6042515719,0.0000000000,0.0000269735
"The capital of Russia is Niamey",capital,capitals,0,136,0.6494763047,0.0000001212,0.0031729290
"The capital of Austria is Tegucigalpa",capital,capitals,0,137,0.6489980392,0.0000040183,0.0018134904
"The capital of Burundi is Ulaanbaatar",capital,capitals,0,138,0.5780372533,0.0000000000,0.0000422214
"The capital of Sierra Leone is Freetown",capital,capitals,1,139,0.8314557228,0.9997613109,0.9989190909
"The capital of Tajikistan is Dushanbe",capital,capitals,1,140,0.8053543915,0.9983739566,0.9976426234
"The capital of Azerbaijan is Ulaanbaatar",capital,capitals,0,141,0.6244667523,0.0000000017,0.0037071202
"The capital of Burkina Faso is Antananarivo",capital,capitals,0,142,0.6694182118,0.0000000000,0.0012120474
"The capital of Panama is Panama City",capital,capitals,1,143,0.6606511155,0.9999989016,0.9998754141
"The capital of Mexico is Maseru",capital,capitals,0,144,0.6282717254,0.0000000000,0.0000112072
"The capital of Eritrea is Ouagadougou",capital,capitals,0,145,0.7610787424,0.0000001302,0.0019000545
"The capital of Bahrain is Manama",capital,capitals,1,146,0.7382130659,0.9734878268,0.9998458146
"The capital of Uruguay is Montevideo",capital,capitals,1,147,0.8338974998,0.9977576443,0.9990930770
"The capital of Pakistan is Dakar",capital,capitals,0,148,0.6837727291,0.0000000052,0.0043800294
"The capital of Israel is Jerusalem",capital,capitals,1,149,0.7955558576,0.9966684318,0.9986351080
"The capital of United Kingdom is London",capital,capitals,1,150,0.7484638507,0.9717073516,0.9968971682
"The capital of Dominican Republic is Santo Domingo",capital,capitals,1,151,0.8188984673,0.9968176757,0.9936446229
"The capital of Somalia is Yerevan",capital,capitals,0,152,0.6873170885,0.0000000001,0.0002174404
"The capital of Malawi is Lilongwe",capital,capitals,1,153,0.8038106575,0.9954445637,0.9989428098
"The capital of Bahamas is Asuncion",capital,capitals,0,154,0.6250818877,0.0000000000,0.1652129643
"The capital of Vietnam is Abu Dhabi",capital,capitals,0,155,0.6218108112,0.0000000000,0.0002191415
"The capital of Bhutan is Pretoria",capital,capitals,0,156,0.7378202155,0.0000000000,0.0000953001
"The capital of Kazakhstan is Naypyidaw",capital,capitals,0,157,0.4203891612,0.0000000000,0.0000009440
"The capital of Burundi is Gitega",capital,capitals,1,158,0.6572040177,0.9820760123,0.9948690776
"The capital of Czech Republic is Prague",capital,capitals,1,159,0.8111005872,0.9263370755,0.9963257262
"The capital of North Korea is Riga",capital,capitals,0,160,0.7542286933,0.0000029973,0.0006911117
"The capital of Bosnia and Herzegovina is Sarajevo",capital,capitals,1,161,0.6612233274,0.9999963664,0.9943485826
"The capital of Zimbabwe is Harare",capital,capitals,1,162,0.7837587810,0.9963717823,0.9977662896
"The capital of Lebanon is Monrovia",capital,capitals,0,163,0.6003843736,0.0000000000,0.0036998552
"The capital of Cambodia is Riga",capital,capitals,0,164,0.7247322181,0.0000000001,0.0000291705
"The capital of Belarus is Minsk",capital,capitals,1,165,0.8175636242,0.9911009845,0.9991281380
"The capital of Cyprus is Nicosia",capital,capitals,1,166,0.7344992093,0.9946750363,0.9361091446
"The capital of Guyana is Tehran",capital,capitals,0,167,0.7110200548,0.0000000000,0.0001589372
"The capital of Madagascar is Hanoi",capital,capitals,0,168,0.6722879576,0.0000000017,0.0008814440
"The capital of Ecuador is Quito",capital,capitals,1,169,0.7628113206,0.9988238350,0.9966080939
"The capital of Malta is Riyadh",capital,capitals,0,170,0.7924930846,0.0000000001,0.0015896437
"The capital of Cameroon is Yaounde",capital,capitals,1,171,0.8265559690,0.9708074803,0.9998985781
"The capital of Chile is Yamoussoukro",capital,capitals,0,172,0.5209639849,0.0000000000,0.0000073597
"The capital of Sweden is Valletta",capital,capitals,0,173,0.5910714710,0.0000000000,0.0009869605
"The capital of Bahamas is Nassau",capital,capitals,1,174,0.7247370434,0.9993504975,0.9989347655
"The capital of Sierra Leone is Dhaka",capital,capitals,0,175,0.6125149954,0.0000000000,0.0000442408
"The capital of Bangladesh is Dhaka",capital,capitals,1,176,0.7936728586,0.9967217745,0.9998189845
"The capital of Albania is Niamey",capital,capitals,0,177,0.6934979964,0.0000116070,0.0042783093
"The capital of Tanzania is New Delhi",capital,capitals,0,178,0.5991940714,0.0000000000,0.0039756294
"The capital of Papua New Guinea is Port Moresby",capital,capitals,1,179,0.7944385920,0.9999293489,0.9991683941
"The capital of Philippines is Manila",capital,capitals,1,180,0.7796604893,0.0388702418,0.9828822534
"The capital of Netherlands is Apia",capital,capitals,0,181,0.7209230044,0.0000002650,0.0000223817
"The capital of Eritrea is Asmara",capital,capitals,1,182,0.7592523725,0.9128201686,0.9924560269
"The capital of Kenya is Nairobi",capital,capitals,1,183,0.8125987833,0.9948728171,0.9995656028
"The capital of Bolivia is La Paz",capital,capitals,1,184,0.4864674634,0.0924638665,0.9989748154
"The capital of Samoa is Apia",capital,capitals,1,185,0.7690731015,0.9980391280,0.9992191855
"The capital of France is Paris",capital,capitals,1,186,0.8254413990,0.9993887371,0.9990077835
"The capital of Bahrain is Antananarivo",capital,capitals,0,187,0.7067044927,0.0000000017,0.0069077343
"The capital of France is Ashgabat",capital,capitals,0,188,0.6864182835,0.0000006328,0.0063298209
"The capital of Paraguay is Yerevan",capital,capitals,0,189,0.7291471106,0.0000000231,0.0011987212
"The capital of Germany is Panama City",capital,capitals,0,190,0.5855131927,0.0000000000,0.0013975790
"The capital of Uzbekistan is Tashkent",capital,capitals,1,191,0.8103901596,0.9915634696,0.9976334367
"The capital of Germany is Berlin",capital,capitals,1,192,0.7923612020,0.9967331635,0.9993345524
"The capital of Mexico is Mexico City",capital,capitals,1,193,0.6680669310,0.9999788565,0.9998317805
"The capital of Japan is Tokyo",capital,capitals,1,194,0.7803719419,0.9999947227,0.9999063141
"The capital of Tanzania is Dodoma",capital,capitals,1,195,0.4920490339,0.0000000000,0.9994073295
"The capital of Togo is Prague",capital,capitals,0,196,0.7746211713,0.0000000000,0.0000260040
"The capital of New Zealand is Mexico City",capital,capitals,0,197,0.6333158511,0.0000000000,0.0005083616
"The capital of Rwanda is Kigali",capital,capitals,1,198,0.8177835896,0.9997044594,0.9987596273
"The capital of Moldova is Moscow",capital,capitals,0,199,0.6324392546,0.0000000000,0.0052647087
"The capital of Luxembourg is Tbilisi",capital,capitals,0,200,0.7829550602,0.0003164720,0.0045204871
"The capital of Laos is Vientiane",capital,capitals,1,201,0.7820699760,0.9996051955,0.9992387845
"The capital of Saudi Arabia is Riyadh",capital,capitals,1,202,0.8187816396,0.9994136638,0.9995523424
"The capital of Czech Republic is Suva",capital,capitals,0,203,0.5206187696,0.0000000000,0.0000029075
"The capital of Armenia is Yerevan",capital,capitals,1,204,0.7928118281,0.9998103335,0.9946628712
"The capital of Morocco is Bamako",capital,capitals,0,205,0.5518911603,0.0000000000,0.0000123477
"The capital of Guatemala is Guatemala City",capital,capitals,1,206,0.6693784986,0.9999969080,0.9998982923
"The capital of Ivory Coast is Yamoussoukro",capital,capitals,1,207,0.3762762196,0.0000000073,0.9908379155
"The capital of Chad is N'Djamena",capital,capitals,1,208,0.8032359820,0.9943638655,0.9885083323
"The capital of Morocco is Rabat",capital,capitals,1,209,0.7200860961,0.9994801731,0.9973853155
"The capital of Gabon is Libreville",capital,capitals,1,210,0.8064598907,0.9984385932,0.9993331111
"The capital of United Kingdom is Lome",capital,capitals,0,211,0.7188840974,0.0000000049,0.0001281402
"The capital of Lesotho is Conakry",capital,capitals,0,212,0.6827308106,0.0000000057,0.0029739673
"The capital of Vietnam is Hanoi",capital,capitals,1,213,0.7198101930,0.9999323155,0.9998966229
"The capital of India is Riga",capital,capitals,0,214,0.7841675888,0.0000071061,0.0011688421
"The capital of Singapore is Belgrade",capital,capitals,0,215,0.7743091099,0.0000001528,0.0088457279
"The capital of Saudi Arabia is Djibouti",capital,capitals,0,216,0.8048337117,0.0000005521,0.0122035453
"The capital of Kenya is Pyongyang",capital,capitals,0,217,0.7604413813,0.0000000000,0.0002146204
"The capital of Switzerland is Moscow",capital,capitals,0,218,0.7573093334,0.0000000059,0.0053459814
"The capital of Spain is Tunis",capital,capitals,0,219,0.6541841991,0.0000000000,0.0000850327
"The capital of South Korea is Seoul",capital,capitals,1,220,0.7884811643,0.9999866808,0.9999041290
"The capital of Singapore is Singapore",capital,capitals,1,221,0.6003093512,0.7119500626,0.9972192173
"The capital of Australia is Riga",capital,capitals,0,222,0.7490316879,0.0000000168,0.0019370240
"The capital of Finland is Helsinki",capital,capitals,1,223,0.7595810417,0.9999895560,0.9990742833
"The capital of Costa Rica is San Jose",capital,capitals,1,224,0.7840439331,0.9948604520,0.9948081803
"The capital of Venezuela is Gitega",capital,capitals,0,225,0.4973292546,0.0000000000,0.0000017239
"The capital of Djibouti is La Paz",capital,capitals,0,226,0.6469738671,0.0000000000,0.0005113303
"The capital of Ethiopia is Brasilia",capital,capitals,0,227,0.6496205139,0.0000000000,0.0000069568
"The capital of Italy is Rome",capital,capitals,1,228,0.7560799810,0.9992054577,0.9955239983
"The capital of Georgia is Tbilisi",capital,capitals,1,229,0.7595924745,0.9967109682,0.9980709781
"The capital of Ireland is Luanda",capital,capitals,0,230,0.6817527675,0.0000000016,0.0005792060
"The capital of Denmark is Copenhagen",capital,capitals,1,231,0.7433015311,0.9999481773,0.9999650371
"The capital of Jamaica is Kingston",capital,capitals,1,232,0.7921314115,0.9988883103,0.9998154155
"The capital of Zimbabwe is Lima",capital,capitals,0,233,0.7088625667,0.0000000000,0.0001380607
"The capital of Botswana is Abu Dhabi",capital,capitals,0,234,0.5693208987,0.0000000000,0.0000982750
"The capital of Kyrgyzstan is Reykjavik",capital,capitals,0,235,0.7566193443,0.0000359783,0.0090683918
"The capital of Iran is Nicosia",capital,capitals,0,236,0.6293216690,0.0000000001,0.0018561316
"The capital of United States is Washington",capital,capitals,1,237,0.4800239480,0.9930746534,0.9751735691
"The capital of Sri Lanka is Abuja",capital,capitals,0,238,0.7596712380,0.0000300269,0.0012660063
"The capital of North Macedonia is Tirana",capital,capitals,0,239,0.7254299103,0.0000000146,0.0199043377
"The capital of United Arab Emirates is Abu Dhabi",capital,capitals,1,240,0.6738266072,0.7535066414,0.9997622182
"The capital of Poland is Yaounde",capital,capitals,0,241,0.7455763894,0.0000104507,0.0135091800
"The capital of Denmark is Harare",capital,capitals,0,242,0.7078809923,0.0000000111,0.0000241136
"The capital of Norway is Lusaka",capital,capitals,0,243,0.6811821208,0.0000000164,0.0002204315
"The capital of Jordan is Guatemala City",capital,capitals,0,244,0.5526801704,0.0000000000,0.0000753701
"The capital of Greece is Athens",capital,capitals,1,245,0.7307266113,0.9999753675,0.9999591350
"The capital of Azerbaijan is Baku",capital,capitals,1,246,0.7146486607,0.9999975094,0.9930563170
"The capital of Fiji is Suva",capital,capitals,1,247,0.7137404901,0.9994542153,0.9954404086
"The capital of Switzerland is Bern",capital,capitals,1,248,0.8210917781,0.9875874121,0.9995373426
"The capital of Tajikistan is Prague",capital,capitals,0,249,0.8178420561,0.0000000786,0.0001150242
"The capital of Sudan is Baghdad",capital,capitals,0,250,0.5334493703,0.0000000000,0.0000058751
"The capital of Eswatini is London",capital,capitals,0,251,0.7654127976,0.0000000038,0.0195952524
"The capital of Malawi is Havana",capital,capitals,0,252,0.6857615943,0.0000000000,0.0003619388
"The capital of Latvia is Riga",capital,capitals,1,253,0.7300809101,0.9999962659,0.9994212920
"The capital of Jordan is Amman",capital,capitals,1,254,0.7922952527,0.9994666810,0.9931887253
"The capital of Yemen is Sanaa",capital,capitals,1,255,0.7754752125,0.9038834677,0.9976543844
"The capital of Turkey is Ankara",capital,capitals,1,256,0.7438975753,0.9998912367,0.9994344242
"The capital of New Zealand is Wellington",capital,capitals,1,257,0.7917813425,0.9949677816,0.9986930860
"The capital of Somalia is Mogadishu",capital,capitals,1,258,0.8298866795,0.9886041248,0.9995212816
"The capital of North Macedonia is Skopje",capital,capitals,1,259,0.8067765048,0.9975630006,0.9941171907
"The capital of Belize is Belmopan",capital,capitals,1,260,0.5763966718,0.0043853654,0.9904417196
"The capital of Norway is Oslo",capital,capitals,1,261,0.8331531882,0.9976244390,0.9989559407
"The capital of Rwanda is Nouakchott",capital,capitals,0,262,0.6959678205,0.0000000003,0.0016619770
"The capital of Afghanistan is Manila",capital,capitals,0,263,0.6958004695,0.0000000000,0.0005358696
"The capital of Niger is Jakarta",capital,capitals,0,264,0.6670822308,0.0000000000,0.0214743815
"The capital of North Korea is Pyongyang",capital,capitals,1,265,0.7790955508,0.9999482021,0.9997919059
"The capital of Qatar is Doha",capital,capitals,1,266,0.7896205857,0.9978859678,0.9994160280
"The capital of Peru is Lima",capital,capitals,1,267,0.7792029920,0.9990430877,0.9973164424
"The capital of Belize is Harare",capital,capitals,0,268,0.6830432343,0.0000000000,0.0000083006
"The capital of Croatia is Zagreb",capital,capitals,1,269,0.7780999520,0.9994560139,0.9992030983
"The capital of Greece is Pretoria",capital,capitals,0,270,0.7253104077,0.0000000000,0.0002710340
"The capital of Angola is Luanda",capital,capitals,1,271,0.7990132718,0.9998699212,0.9995858392
"The capital of Chile is Santiago",capital,capitals,1,272,0.7890389644,0.9999281037,0.9738597750
"The capital of Myanmar is Naypyidaw",capital,capitals,1,273,0.5729744571,0.0000040719,0.9996402197
"The capital of Spain is Madrid",capital,capitals,1,274,0.8022565139,0.9942807084,0.9970575638
"The capital of Iraq is Baghdad",capital,capitals,1,275,0.7779143397,0.9978440563,0.9964332823
"The capital of Tunisia is Santiago",capital,capitals,0,276,0.6099257069,0.0000003084,0.0001384781
"The capital of Senegal is Dakar",capital,capitals,1,277,0.7616439126,0.9999534135,0.9986003826
"The capital of Colombia is Bogota",capital,capitals,1,278,0.7383397102,0.9990790279,0.9995417518
"The capital of Lebanon is Beirut",capital,capitals,1,279,0.8002178528,0.9998416488,0.9850624676
"The capital of Slovenia is Ljubljana",capital,capitals,1,280,0.8115439314,0.9977277185,0.9995744672
"The capital of Russia is Moscow",capital,capitals,1,281,0.7431487991,0.9999310085,0.9992986285
"The capital of Ukraine is Kyiv",capital,capitals,1,282,0.7711774439,0.9968911143,0.9961558280
"The capital of Niger is Niamey",capital,capitals,1,283,0.7979380062,0.9792987821,0.9987064702
"The capital of Sudan is Khartoum",capital,capitals,1,284,0.8039696515,0.9053263866,0.7746851940
"The capital of Nicaragua is Managua",capital,capitals,1,285,0.7271282965,0.9991835794,0.9957727238
"The capital of Venezuela is Caracas",capital,capitals,1,286,0.7769743460,0.9999407055,0.9966052264
"The capital of Turkmenistan is Singapore",capital,capitals,0,287,0.6081597676,0.0000000000,0.0000047660
"The capital of Iceland is Manama",capital,capitals,0,288,0.6677709688,0.0000000000,0.0004121563
"The capital of Estonia is Tallinn",capital,capitals,1,289,0.7537019323,0.9999941881,0.9980972329
"The capital of Guyana is Georgetown",capital,capitals,1,290,0.7666986000,0.9998980198,0.9958738595
"The capital of Austria is Vienna",capital,capitals,1,291,0.8002432024,0.9998676823,0.9993899984
"The capital of Ethiopia is Addis Ababa",capital,capitals,1,292,0.7340310230,0.9892786544,0.9993293250
"The capital of Finland is Dodoma",capital,capitals,0,293,0.6424268775,0.0000000000,0.0000739472
"The capital of Philippines is Port-au-Prince",capital,capitals,0,294,0.6833230446,0.0000000000,0.0000651981
"The capital of Nepal is Kathmandu",capital,capitals,1,295,0.7736554061,0.9905910771,0.9996109265
"The capital of Colombia is San Jose",capital,capitals,0,296,0.3694051756,0.0000000000,0.0010206006
"The capital of Bosnia and Herzegovina is Nassau",capital,capitals,0,297,0.6279421244,0.0000000000,0.0000108542
"The capital of Burkina Faso is Ouagadougou",capital,capitals,1,298,0.8728318575,0.9482542175,0.9980816056
"The capital of Nicaragua is Damascus",capital,capitals,0,299,0.6985186611,0.0000000000,0.0001004676
